Cluster,bldg_id,setpoint_id,ID,Geometry,Orientation,Year-built,Occupants,Infiltration,Ceiling,Slab,Wall,EUI (kWh/m2),WWR
1,199613,Tolerant,1,{\includegraphics[height=0.45in]{figures/building_geometry/199613}},West,2000s,2,6 ACH50,R-30,None,"Wood Stud, R-19",122.0,0.11
1,247942,Tolerant,2,{\includegraphics[height=0.45in]{figures/building_geometry/247942}},Northeast,2000s,3,4 ACH50,R-30,None,"Wood Stud, R-11",59.0,0.05
1,411001,Average,3,{\includegraphics[height=0.45in]{figures/building_geometry/411001}},Northeast,1990s,1,10 ACH50,R-30,None,"Wood Stud, R-15",289.0,0.05
1,450491,Tolerant,4,{\includegraphics[height=0.45in]{figures/building_geometry/450491}},Southwest,2010s,3,8 ACH50,None,None,"Wood Stud, R-19",235.0,0.13
1,508889,Average,5,{\includegraphics[height=0.45in]{figures/building_geometry/508889}},Southwest,1980s,2,15 ACH50,R-30,None,"Wood Stud, R-19",359.0,0.07
1,525859,Tolerant,6,{\includegraphics[height=0.45in]{figures/building_geometry/525859}},North,1980s,3,10 ACH50,R-19,None,"Wood Stud, R-19",348.0,0.26
2,20199,Tolerant,7,{\includegraphics[height=0.45in]{figures/building_geometry/20199}},South,1970s,4,15 ACH50,R-30,None,"Wood Stud, R-7",226.0,0.06
2,75252,Average,8,{\includegraphics[height=0.45in]{figures/building_geometry/75252}},South,1970s,4,10 ACH50,R-49,None,"Wood Stud, R-7",284.0,0.06
2,79194,Average,9,{\includegraphics[height=0.45in]{figures/building_geometry/79194}},South,1970s,2,15 ACH50,R-13,None,"Wood Stud, R-7",278.0,0.24
2,376570,Average,10,{\includegraphics[height=0.45in]{figures/building_geometry/376570}},South,1980s,2,15 ACH50,R-30,None,"Wood Stud, R-11",329.0,0.08
2,387179,Average,11,{\includegraphics[height=0.45in]{figures/building_geometry/387179}},South,2000s,1,10 ACH50,R-30,None,"Wood Stud, R-11",234.0,0.1
2,391597,Tolerant,12,{\includegraphics[height=0.45in]{figures/building_geometry/391597}},South,1940s,1,8 ACH50,R-13,Uninsulated,"Wood Stud, Uninsulated",310.0,0.11
3,245723,Tolerant,13,{\includegraphics[height=0.45in]{figures/building_geometry/245723}},West,1940s,1,25 ACH50,R-7,None,"Wood Stud, Uninsulated",478.0,0.13
3,373117,Average,14,{\includegraphics[height=0.45in]{figures/building_geometry/373117}},West,1960s,1,20 ACH50,R-38,Uninsulated,"Wood Stud, Uninsulated",392.0,0.09
3,425540,Average,15,{\includegraphics[height=0.45in]{figures/building_geometry/425540}},Northwest,1970s,2,20 ACH50,R-19,None,"Wood Stud, R-7",349.0,0.15
3,430942,Tolerant,16,{\includegraphics[height=0.45in]{figures/building_geometry/430942}},West,1950s,1,20 ACH50,R-38,None,"Wood Stud, Uninsulated",396.0,0.26
3,481052,Tolerant,17,{\includegraphics[height=0.45in]{figures/building_geometry/481052}},Northeast,1960s,1,8 ACH50,R-13,None,"Wood Stud, Uninsulated",283.0,0.04
3,546814,Average,18,{\includegraphics[height=0.45in]{figures/building_geometry/546814}},Northwest,1950s,2,30 ACH50,R-19,None,"Wood Stud, Uninsulated",607.0,0.08
4,4421,Average,19,{\includegraphics[height=0.45in]{figures/building_geometry/4421}},South,1990s,3,10 ACH50,R-30,"2ft R10 Under, Horizontal","Wood Stud, R-19",221.0,0.05
4,498771,Tolerant,20,{\includegraphics[height=0.45in]{figures/building_geometry/498771}},East,2000s,1,8 ACH50,R-30,"2ft R10 Under, Horizontal","Wood Stud, R-11",291.0,0.04
